iter	Passed	Remaining
401	16585	4043
402	16629	4002
403	16671	3961
404	16710	3919
405	16749	3878
406	16780	3834
407	16817	3792
408	16861	3751
409	16903	3710
410	16943	3668
411	16978	3626
412	17013	3583
413	17050	3541
414	17090	3500
415	17124	3457
416	17160	3415
417	17197	3373
418	17234	3331
419	17262	3288
420	17299	3246
421	17345	3206
422	17383	3164
423	17420	3122
424	17457	3080
425	17491	3038
426	17513	2994
427	17556	2953
428	17608	2914
429	17676	2877
430	17759	2843
431	17806	2802
432	17923	2773
433	18006	2738
434	18062	2699
435	18103	2657
436	18143	2615
437	18181	2573
438	18218	2531
439	18255	2489
440	18288	2446
441	18326	2404
442	18374	2364
443	18433	2324
444	18489	2285
445	18519	2242
446	18574	2202
447	18691	2169
448	18775	2132
449	18898	2099
450	18979	2062
451	19066	2024
452	19121	1983
453	19191	1944
454	19249	1903
455	19306	1862
456	19354	1821
457	19403	1779
458	19453	1737
459	19509	1696
460	19568	1655
461	19667	1617
462	19758	1578
463	19817	1537
464	19899	1497
465	19953	1455
466	19999	1413
467	20050	1370
468	20164	1332
469	20244	1292
470	20291	1249
471	20344	1206
472	20392	1164
473	20451	1121
474	20545	1081
475	20629	1040
476	20698	998
477	20784	956
478	20851	914
479	20908	871
480	20957	827
481	21009	784
482	21058	741
483	21109	697
484	21159	654
485	21208	610
486	21261	567
487	21336	524
488	21456	482
489	21548	439
490	21599	395
491	21661	352
492	21714	308
493	21776	264
494	21841	220
495	21903	176
496	21977	132
497	22055	88
498	22139	44
499	22204	0
